"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2024-04-12","BPN","Sepinggan",7118,6808,310,5438,5107,331,52,3,50,2
"2024-04-13","BPN","Sepinggan",6533,6533,0,6785,6785,0,52,1,53,1
"2024-04-14","BPN","Sepinggan",9460,9309,151,10768,10690,78,72,2,75,1
"2024-04-15","BPN","Sepinggan",10564,10390,174,12414,12231,183,84,3,84,3
"2024-04-16","BPN","Sepinggan",8951,8951,0,11584,11584,0,77,0,77,1
"2024-04-17","BPN","Sepinggan",8303,8044,259,10568,10216,352,72,3,67,3
"2024-04-18","BPN","Sepinggan",7667,7667,0,10015,10015,0,71,1,73,2
"2024-04-19","BPN","Sepinggan",7867,7667,200,10015,9673,342,73,3,70,2
"2024-04-20","BPN","Sepinggan",8986,8986,0,11172,11172,0,74,0,74,2
"2024-04-21","BPN","Sepinggan",9329,9179,150,12175,11995,180,82,3,84,1
"2024-04-22","BPN","Sepinggan",7476,7303,173,10301,10136,165,79,1,75,3
"2024-04-23","BPN","Sepinggan",6516,6500,16,9906,9903,3,73,2,72,4
"2024-04-24","BPN","Sepinggan",7510,7193,317,11029,10682,347,81,4,76,4
"2024-04-25","BPN","Sepinggan",6504,6504,0,9662,9662,0,75,1,78,1
"2024-04-26","BPN","Sepinggan",6921,6921,0,9696,9696,0,76,1,73,1
"2024-04-27","BPN","Sepinggan",6925,6818,107,9830,9653,177,74,2,74,1
"2024-04-28","BPN","Sepinggan",7211,7049,162,10425,10252,173,71,2,72,2
"2024-04-29","BPN","Sepinggan",6042,5903,139,10514,10370,144,77,1,75,3
"2024-04-30","BPN","Sepinggan",6824,6824,0,9615,9615,0,71,1,73,0
"2024-05-01","BPN","Sepinggan",7481,7313,168,10037,9867,170,75,1,73,2
"2024-05-02","BPN","Sepinggan",6243,6243,0,8902,8902,0,69,1,70,1
"2024-05-03","BPN","Sepinggan",6806,6541,265,9896,9725,171,76,4,72,3
"2024-05-04","BPN","Sepinggan",6079,6079,0,9135,9135,0,67,1,65,0
"2024-05-05","BPN","Sepinggan",7114,6964,150,10244,10095,149,72,2,72,2
"2024-05-06","BPN","Sepinggan",6918,6779,139,9707,9546,161,71,1,70,3
"2024-05-07","BPN","Sepinggan",6371,6371,0,8070,8070,0,69,3,67,3
"2024-05-08","BPN","Sepinggan",8333,8011,322,9882,9617,265,79,3,80,3
"2024-05-09","BPN","Sepinggan",7649,7649,0,8589,8582,7,71,2,72,1
"2024-05-10","BPN","Sepinggan",5935,5617,318,7768,7532,236,63,3,62,5
"2024-05-11","BPN","Sepinggan",5512,5512,0,7064,7064,0,58,1,58,0
"2024-05-12","BPN","Sepinggan",7406,7229,177,9158,8981,177,63,2,66,2
"2024-05-13","BPN","Sepinggan",6639,6489,150,8963,8804,159,66,1,68,2
"2024-05-14","BPN","Sepinggan",6110,6110,0,7615,7607,8,58,3,56,1
"2024-05-15","BPN","Sepinggan",7591,7276,315,8484,8192,292,68,3,68,4
"2024-05-16","BPN","Sepinggan",7293,7293,0,7579,7579,0,66,2,69,3
"2024-05-17","BPN","Sepinggan",7809,7267,542,8618,8069,549,75,4,71,4
"2024-05-18","BPN","Sepinggan",6812,6812,0,7185,7185,0,68,2,66,0
"2024-05-19","BPN","Sepinggan",6472,6320,152,8502,8322,180,64,2,66,2
"2024-05-20","BPN","Sepinggan",7340,6859,481,7960,7836,124,64,2,64,4
"2024-05-21","BPN","Sepinggan",5838,5838,0,6617,6617,0,61,3,59,2
"2024-05-22","BPN","Sepinggan",8335,7984,351,6910,6674,236,69,4,67,3
"2024-05-23","BPN","Sepinggan",7643,7323,320,6780,6780,0,61,0,61,3
"2024-05-24","BPN","Sepinggan",5961,5763,198,6886,6598,288,60,5,59,2
"2024-05-25","BPN","Sepinggan",5485,5161,324,5944,5944,0,53,1,51,1
"2024-05-26","BPN","Sepinggan",7210,6780,430,9147,8974,173,69,3,70,5
"2024-05-27","BPN","Sepinggan",6593,6119,474,7933,7767,166,68,2,69,4
"2024-05-28","BPN","Sepinggan",5252,5252,0,7468,7468,0,67,1,63,2
"2024-05-29","BPN","Sepinggan",5872,5337,535,6372,6096,276,57,6,65,7
"2024-05-30","BPN","Sepinggan",6861,6540,321,6985,6985,0,61,2,64,3
"2024-05-31","BPN","Sepinggan",7348,7125,223,6557,6344,213,69,3,63,4
"2024-06-01","BPN","Sepinggan",6567,6246,321,6581,6581,0,60,1,58,2
"2024-06-02","BPN","Sepinggan",6583,6145,438,8011,7865,146,65,4,63,5
"2024-06-03","BPN","Sepinggan",6145,6069,76,8653,8577,76,76,2,72,3
"2024-06-04","BPN","Sepinggan",6290,5967,323,7102,7102,0,67,1,69,1
"2024-06-05","BPN","Sepinggan",8590,7987,603,7123,6868,255,70,2,68,7
"2024-06-06","BPN","Sepinggan",9284,9284,0,6460,6460,0,76,2,85,2
"2024-06-07","BPN","Sepinggan",9039,8909,130,6594,6508,86,71,3,68,1
"2024-06-08","BPN","Sepinggan",7837,7837,0,6386,6386,0,67,3,67,1
"2024-06-09","BPN","Sepinggan",8313,8136,177,7314,7160,154,62,2,63,3
"2024-06-10","BPN","Sepinggan",8078,7928,150,7830,7724,106,72,2,72,2
"2024-06-11","BPN","Sepinggan",7071,7071,0,6854,6854,0,57,1,57,3
"2024-06-12","BPN","Sepinggan",8493,8172,321,7680,7456,224,71,3,68,3
"2024-06-13","BPN","Sepinggan",8095,8095,0,6794,6794,0,62,2,64,2
"2024-06-14","BPN","Sepinggan",10207,9861,346,7767,7480,287,80,3,77,5
"2024-06-15","BPN","Sepinggan",9389,9389,0,7196,7196,0,75,1,73,0
"2024-06-16","BPN","Sepinggan",9041,8865,176,5867,5753,114,66,2,69,2
"2024-06-17","BPN","Sepinggan",5820,5660,160,4095,4045,50,48,3,51,2
"2024-06-18","BPN","Sepinggan",6921,6921,0,6374,6374,0,66,1,68,2
"2024-06-19","BPN","Sepinggan",8334,7986,348,8329,8027,302,74,3,75,3
"2024-06-20","BPN","Sepinggan",7915,7915,0,7509,7505,4,70,2,73,1
"2024-06-21","BPN","Sepinggan",8474,8298,176,7339,7195,144,73,2,70,1
"2024-06-22","BPN","Sepinggan",7772,7772,0,8220,8220,0,69,1,67,0
"2024-06-23","BPN","Sepinggan",8721,8538,183,9239,9095,144,73,3,73,4
"2024-06-24","BPN","Sepinggan",8708,8545,163,9435,9304,131,74,2,75,2
"2024-06-25","BPN","Sepinggan",7760,7760,0,8793,8469,324,67,3,71,2
"2024-06-26","BPN","Sepinggan",9377,9053,324,9755,9101,654,75,4,73,3
"2024-06-27","BPN","Sepinggan",8656,8656,0,8629,8629,0,70,1,72,3
"2024-06-28","BPN","Sepinggan",9222,8877,345,9866,9206,660,77,5,75,4
"2024-06-29","BPN","Sepinggan",7992,7992,0,8894,8573,321,75,2,75,0
"2024-06-30","BPN","Sepinggan",9073,8898,175,9941,9762,179,72,2,78,4
"2024-07-01","BPN","Sepinggan",7859,7700,159,9704,9223,481,71,3,71,3
"2024-07-02","BPN","Sepinggan",8369,8369,0,9132,8811,321,72,2,72,2
"2024-07-03","BPN","Sepinggan",9057,8729,328,9662,9316,346,75,3,74,3
"2024-07-04","BPN","Sepinggan",8377,8377,0,9510,9189,321,73,2,78,3
"2024-07-05","BPN","Sepinggan",9329,9025,304,9651,9310,341,81,4,77,3
"2024-07-06","BPN","Sepinggan",8191,8191,0,9131,8807,324,72,2,72,2
"2024-07-07","BPN","Sepinggan",8058,7885,173,9921,9751,170,72,2,74,4
"2024-07-08","BPN","Sepinggan",8044,7912,132,10612,10117,495,77,3,82,1
"2024-07-09","BPN","Sepinggan",7680,7680,0,9425,9425,0,76,1,76,3
"2024-07-10","BPN","Sepinggan",8878,8589,289,10346,9673,673,85,5,83,6
"2024-07-11","BPN","Sepinggan",8465,8465,0,10188,9868,320,88,2,91,3
"2024-07-12","BPN","Sepinggan",8666,8410,256,9574,9228,346,82,4,80,4
"2024-07-13","BPN","Sepinggan",7785,7785,0,10427,10103,324,82,2,81,1
"2024-07-14","BPN","Sepinggan",8015,7837,178,10611,10116,495,77,3,80,4
"2024-07-15","BPN","Sepinggan",7298,7156,142,10445,9951,494,85,3,82,3
"2024-07-16","BPN","Sepinggan",6803,6803,0,8488,8488,0,73,1,74,3
"2024-07-17","BPN","Sepinggan",3683,3557,126,3236,3091,145,66,3,73,3
"2024-07-18","BPN","Sepinggan",6738,6738,0,7899,7578,321,109,3,103,4
"2024-07-19","BPN","Sepinggan",8762,8456,306,7965,7720,245,76,3,77,3
"2024-07-20","BPN","Sepinggan",7132,7129,3,8473,8150,323,68,3,69,3
"2024-07-21","BPN","Sepinggan",7513,7381,132,8757,8601,156,72,2,75,3
"2024-07-22","BPN","Sepinggan",7016,6874,142,8298,8204,94,75,1,78,3
"2024-07-23","BPN","Sepinggan",6588,6588,0,6928,6928,0,69,0,69,2
"2024-07-24","BPN","Sepinggan",7721,7441,280,8209,7938,271,72,3,70,3
"2024-07-25","BPN","Sepinggan",6961,6961,0,7761,7761,0,71,1,75,3
"2024-07-26","BPN","Sepinggan",7462,7165,297,8096,7836,260,73,3,73,3
"2024-07-27","BPN","Sepinggan",6835,6835,0,7196,7196,0,66,1,67,0
"2024-07-28","BPN","Sepinggan",7326,7146,180,7585,7457,128,74,2,69,2
"2024-07-29","BPN","Sepinggan",6861,6727,134,7289,7201,88,66,1,68,2
"2024-07-30","BPN","Sepinggan",6093,6093,0,6337,6337,0,63,1,63,2
"2024-07-31","BPN","Sepinggan",7790,7472,318,7307,7064,243,66,2,68,2
